Crop,Season,Region,Soil_Type,Irrigation_Type,Mechanization_Level,Labour_Availability,Gender_Split,Farm_Size_Acre,Task,Prev_Yield_q_per_acre,Weather_Index,Labour_Per_Acre_est,Labour_Required,Labour_Hours_est,Duration_Days_est,Wage_Per_Day_INR,Total_Labour_Cost_INR,Male_Workers_est,Female_Workers_est,Labour_Demand_Level
Wheat,Zaid,West_Bengal,Laterite,Rainfed,High,Medium,Mixed,4.86,Pest_Control,14.81,1.01,0.43,2,16.8,8,439,878,1,1,Very_Low
Groundnut,Kharif,West_Bengal,Red,Drip,Medium,High,Mostly_Male,3.0,Post_Harvest,23.62,1.01,0.9,3,23.3,8,396,1188,2,1,Very_Low
Groundnut,Kharif,Punjab,Red,Drip,Low,Medium,Mixed,5.29,Pest_Control,31.48,0.93,1.2,6,43.6,11,712,4272,3,3,Very_Low
Wheat,Rabi,Maharashtra,Loamy,Rainfed,Medium,Medium,Mostly_Male,1.86,Weeding,21.69,0.91,0.68,1,6.5,4,533,533,1,0,Very_Low
Cotton,Rabi,Uttar_Pradesh,Red,Canal,Medium,High,Mostly_Female,1.98,Sowing,28.01,1.08,1.84,4,27.7,7,475,1900,1,3,Low
Vegetables,Rabi,Maharashtra,Alluvial,Sprinkler,Medium,Medium,Mostly_Male,0.73,Irrigation,35.7,1.11,1.15,1,6.4,1,547,547,1,0,Very_Low
Vegetables,Zaid,Bihar,Alluvial,Sprinkler,Medium,Low,Mixed,0.56,Harvesting,28.91,0.88,3.96,2,15.8,4,409,818,1,1,Medium
Mustard,Zaid,Uttar_Pradesh,Sandy,Sprinkler,Medium,Medium,Mostly_Female,1.92,Post_Harvest,24.21,0.93,0.68,1,8.5,4,470,470,0,1,Very_Low
Groundnut,Zaid,Odisha,Loamy,Drip,Low,Medium,Mixed,5.26,Transplanting,21.33,1.0,3.93,21,142.3,31,419,8799,12,9,Medium
Mustard,Kharif,Tamil_Nadu,Black,Rainfed,Low,Medium,Mostly_Female,3.32,Weeding,11.52,1.06,1.24,4,29.9,10,480,1920,0,4,Very_Low
Cotton,Rabi,Odisha,Red,Drip,Medium,Medium,Mostly_Female,1.02,Threshing,28.94,0.95,2.65,3,20.4,3,372,1116,0,3,Medium
Rice,Zaid,Tamil_Nadu,Loamy,Canal,None,Medium,Mixed,0.85,Post_Harvest,23.87,1.14,1.42,1,6.8,2,493,493,0,1,Very_Low
Sugarcane,Rabi,Punjab,Loamy,Sprinkler,None,Low,Mostly_Male,8.96,Threshing,34.51,0.94,4.69,42,332.4,39,647,27174,29,13,High
Maize,Rabi,Karnataka,Laterite,Tube_Well,None,Low,Mixed,4.6,Sowing,25.79,1.1,2.35,11,68.4,19,438,4818,5,6,Low
Soybean,Rabi,Haryana,Black,Rainfed,Medium,Medium,Mostly_Female,5.88,Post_Harvest,24.86,0.92,0.61,4,29.4,14,724,2896,1,3,Very_Low
Maize,Zaid,Odisha,Alluvial,Sprinkler,High,Low,Mostly_Male,5.03,Weeding,20.88,0.93,0.41,2,13.4,10,375,750,2,0,Very_Low
Soybean,Rabi,Uttar_Pradesh,Alluvial,Canal,Low,Medium,Mixed,1.27,Sowing,16.72,1.06,1.94,2,16.7,5,447,894,1,1,Low
Vegetables,Kharif,Tamil_Nadu,Black,Canal,High,High,Mostly_Male,1.61,Land_Preparation,34.16,0.9,0.87,1,8.2,2,505,505,1,0,Very_Low
Maize,Zaid,West_Bengal,Red,Sprinkler,Low,Medium,Mostly_Female,3.91,Land_Preparation,6.72,1.12,1.54,6,46.9,6,411,2466,1,5,Low
Soybean,Zaid,Punjab,Loamy,Tube_Well,Medium,High,Mostly_Male,1.75,Harvesting,19.73,1.01,1.6,3,20.5,13,706,2118,3,0,Low
Rice,Rabi,Bihar,Laterite,Tube_Well,Low,Low,Mostly_Male,0.76,Fertilizer_Application,28.26,0.97,1.25,1,8.0,1,414,414,1,0,Very_Low
Rice,Rabi,Uttar_Pradesh,Red,Rainfed,High,Medium,Mostly_Female,1.28,Land_Preparation,25.17,1.05,0.86,1,7.2,1,415,415,0,1,Very_Low
Groundnut,Kharif,Maharashtra,Red,Sprinkler,None,Medium,Mostly_Female,1.96,Harvesting,19.28,0.89,3.84,8,62.6,14,469,3752,1,7,Medium
Mustard,Rabi,Haryana,Black,Rainfed,Low,Low,Mostly_Male,11.7,Harvesting,26.02,1.13,3.11,36,292.2,82,663,23868,30,6,Medium
Groundnut,Zaid,Madhya_Pradesh,Laterite,Canal,High,Medium,Mostly_Male,7.06,Sowing,23.91,0.93,0.92,7,50.7,22,462,3234,7,0,Very_Low
Maize,Zaid,Uttar_Pradesh,Sandy,Sprinkler,High,Medium,Mostly_Male,1.22,Harvesting,11.63,1.01,1.15,1,7.7,7,425,425,1,0,Very_Low
Cotton,Zaid,Maharashtra,Sandy,Drip,Low,High,Mostly_Male,1.17,Fertilizer_Application,30.51,1.07,1.38,2,16.9,2,532,1064,2,0,Very_Low
Sugarcane,Rabi,Punjab,Black,Sprinkler,High,Medium,Mostly_Male,3.1,Harvesting,29.84,0.88,1.9,6,36.3,14,782,4692,6,0,Low
Rice,Rabi,Uttar_Pradesh,Red,Sprinkler,Medium,Medium,Mixed,0.61,Threshing,28.39,0.96,2.06,1,8.2,2,469,469,0,1,Low
Rice,Kharif,Uttar_Pradesh,Black,Rainfed,Low,Low,Mostly_Female,1.05,Sowing,24.7,0.98,2.91,3,26.1,3,461,1383,0,3,Medium
Pulses,Rabi,Madhya_Pradesh,Black,Sprinkler,Low,Medium,Mostly_Male,0.81,Transplanting,19.7,0.9,3.01,2,14.3,6,460,920,2,0,Medium
Cotton,Rabi,Uttar_Pradesh,Laterite,Tube_Well,Medium,High,Mixed,1.05,Irrigation,29.96,1.05,0.71,1,7.3,1,439,439,1,0,Very_Low
Vegetables,Zaid,Uttar_Pradesh,Laterite,Tube_Well,None,Medium,Mixed,2.73,Sowing,32.12,0.92,3.21,9,69.5,13,408,3672,5,4,Medium
Vegetables,Rabi,Punjab,Sandy,Rainfed,High,Medium,Mixed,4.91,Weeding,39.87,1.03,0.93,5,39.5,10,748,3740,3,2,Very_Low
Sugarcane,Zaid,Haryana,Loamy,Rainfed,Low,Medium,Mostly_Female,2.38,Fertilizer_Application,39.03,1.07,1.34,3,20.7,5,613,1839,0,3,Very_Low
Mustard,Rabi,Tamil_Nadu,Sandy,Tube_Well,Medium,Medium,Mixed,2.03,Irrigation,25.96,1.07,0.57,1,6.3,2,486,486,1,0,Very_Low
Vegetables,Zaid,Bihar,Alluvial,Drip,None,Medium,Mixed,0.69,Fertilizer_Application,33.53,1.05,1.89,1,7.8,2,431,431,0,1,Low
Cotton,Rabi,Punjab,Sandy,Sprinkler,Low,Medium,Mostly_Female,1.62,Sowing,34.62,1.04,2.92,5,40.5,6,650,3250,0,5,Medium
Wheat,Rabi,Karnataka,Alluvial,Rainfed,Low,Medium,Mixed,0.58,Harvesting,28.53,0.96,3.06,2,16.2,4,502,1004,1,1,Medium
Vegetables,Zaid,Haryana,Laterite,Sprinkler,Low,High,Mostly_Male,1.05,Fertilizer_Application,40.37,0.92,1.25,1,6.7,2,744,744,1,0,Very_Low
Pulses,Kharif,West_Bengal,Red,Canal,High,High,Mixed,1.94,Sowing,21.25,1.05,0.74,1,7.8,4,471,471,0,1,Very_Low
Sugarcane,Zaid,Maharashtra,Alluvial,Sprinkler,Low,Low,Mostly_Male,0.88,Fertilizer_Application,25.89,1.08,1.77,2,15.6,1,573,1146,2,0,Low
Mustard,Rabi,Madhya_Pradesh,Alluvial,Rainfed,None,Medium,Mostly_Male,2.85,Post_Harvest,22.1,0.95,0.85,2,12.3,9,464,928,2,0,Very_Low
Groundnut,Rabi,Bihar,Sandy,Sprinkler,None,Medium,Mostly_Female,0.8,Land_Preparation,23.2,1.07,2.27,2,16.0,1,403,806,0,2,Low
Groundnut,Rabi,West_Bengal,Loamy,Rainfed,Low,High,Mostly_Male,1.33,Sowing,22.22,0.95,1.72,2,12.8,5,449,898,2,0,Low
Vegetables,Zaid,Tamil_Nadu,Red,Drip,Low,Medium,Mostly_Female,2.66,Sowing,38.78,1.11,3.57,9,74.8,11,495,4455,1,8,Medium
Cotton,Rabi,Bihar,Laterite,Drip,Low,Low,Mixed,3.9,Fertilizer_Application,36.82,1.05,1.5,6,38.7,8,348,2088,3,3,Very_Low
Rice,Rabi,Haryana,Loamy,Tube_Well,Medium,Medium,Mostly_Female,1.83,Threshing,38.7,1.02,2.44,4,28.9,7,737,2948,1,3,Low
Wheat,Rabi,Odisha,Red,Tube_Well,None,Medium,Mostly_Male,0.7,Harvesting,12.8,0.92,2.44,2,17.1,5,436,872,2,0,Low
Vegetables,Zaid,Odisha,Sandy,Sprinkler,None,High,Mostly_Female,1.36,Irrigation,41.95,0.86,1.04,1,8.3,2,395,395,0,1,Very_Low
Sugarcane,Zaid,West_Bengal,Alluvial,Canal,Medium,High,Mostly_Male,3.09,Threshing,35.09,0.91,2.13,7,49.2,9,464,3248,7,0,Low
Soybean,Zaid,Haryana,Alluvial,Canal,None,Medium,Mostly_Female,1.26,Sowing,24.09,0.93,1.67,2,14.9,5,629,1258,0,2,Low
Rice,Rabi,West_Bengal,Alluvial,Tube_Well,Medium,Medium,Mostly_Female,0.85,Irrigation,27.13,0.86,0.61,1,7.8,1,419,419,0,1,Very_Low
Sugarcane,Rabi,Uttar_Pradesh,Red,Rainfed,None,Medium,Mostly_Male,0.52,Transplanting,36.24,0.96,6.78,4,30.0,4,462,1848,3,1,High
Wheat,Rabi,Punjab,Laterite,Rainfed,High,Medium,Mostly_Female,1.32,Pest_Control,20.87,1.06,0.43,1,6.3,1,686,686,0,1,Very_Low
Soybean,Rabi,Bihar,Alluvial,Drip,Medium,Low,Mostly_Female,2.85,Pest_Control,11.92,1.01,0.68,2,13.9,4,373,746,0,2,Very_Low
Mustard,Zaid,Haryana,Sandy,Sprinkler,None,High,Mixed,4.17,Transplanting,22.67,0.92,2.81,12,79.1,30,708,8496,6,6,Medium
Sugarcane,Zaid,Karnataka,Laterite,Sprinkler,Medium,Medium,Mostly_Female,1.04,Post_Harvest,27.23,0.95,1.15,1,6.9,2,488,488,0,1,Very_Low
Maize,Zaid,Punjab,Red,Sprinkler,None,Medium,Mostly_Male,2.18,Land_Preparation,23.85,0.96,1.28,3,23.8,5,645,1935,3,0,Very_Low
Vegetables,Rabi,Odisha,Sandy,Rainfed,Low,High,Mostly_Female,4.28,Weeding,42.34,0.95,1.8,8,51.6,10,370,2960,2,6,Low
Pulses,Zaid,Haryana,Sandy,Canal,None,Medium,Mixed,4.22,Threshing,13.66,1.01,2.03,9,64.1,15,651,5859,4,5,Low
Soybean,Kharif,Bihar,Alluvial,Tube_Well,None,Medium,Mixed,1.42,Irrigation,18.73,1.07,0.85,1,8.7,2,373,373,1,0,Very_Low
Sugarcane,Rabi,Uttar_Pradesh,Loamy,Drip,None,Medium,Mostly_Male,1.12,Irrigation,36.39,1.02,1.36,2,14.0,1,451,902,2,0,Very_Low
Mustard,Kharif,West_Bengal,Sandy,Tube_Well,None,Medium,Mostly_Male,2.49,Fertilizer_Application,17.8,1.13,1.18,3,20.0,4,395,1185,3,0,Very_Low
Rice,Zaid,Tamil_Nadu,Loamy,Sprinkler,None,Medium,Mostly_Female,3.67,Transplanting,39.67,1.03,4.56,17,111.2,28,549,9333,5,12,High
Groundnut,Kharif,West_Bengal,Red,Canal,High,Medium,Mostly_Female,1.86,Harvesting,24.47,0.92,1.28,2,17.8,11,484,968,0,2,Very_Low
Soybean,Rabi,Karnataka,Red,Drip,Low,Medium,Mostly_Male,0.93,Weeding,13.18,1.09,0.94,1,6.8,3,536,536,1,0,Very_Low
Rice,Zaid,Tamil_Nadu,Alluvial,Tube_Well,None,Low,Mixed,0.55,Threshing,30.89,0.89,2.97,2,17.7,2,526,1052,1,1,Medium
Wheat,Rabi,Punjab,Laterite,Sprinkler,Low,Medium,Mostly_Male,4.11,Fertilizer_Application,19.38,0.92,0.78,3,18.9,8,688,2064,2,1,Very_Low
Wheat,Rabi,Karnataka,Loamy,Canal,Medium,Medium,Mostly_Female,7.3,Land_Preparation,23.7,1.12,1.01,7,46.5,10,544,3808,1,6,Very_Low
Vegetables,Kharif,Uttar_Pradesh,Black,Tube_Well,None,Low,Mostly_Female,7.13,Post_Harvest,33.74,0.99,1.82,13,113.3,22,379,4927,2,11,Low
Cotton,Zaid,Madhya_Pradesh,Red,Drip,None,Medium,Mostly_Female,1.47,Pest_Control,33.89,0.91,1.36,2,15.1,3,512,1024,0,2,Very_Low
Mustard,Zaid,Punjab,Laterite,Drip,None,Medium,Mixed,6.71,Irrigation,14.37,1.07,0.74,5,31.0,6,744,3720,2,3,Very_Low
Soybean,Zaid,Bihar,Black,Rainfed,Low,Medium,Mostly_Female,2.13,Transplanting,15.44,1.1,3.72,8,71.5,13,359,2872,0,8,Medium
Groundnut,Kharif,Uttar_Pradesh,Black,Rainfed,Medium,High,Mixed,6.0,Irrigation,27.15,1.0,0.76,5,38.1,4,457,2285,2,3,Very_Low
Pulses,Kharif,Bihar,Red,Rainfed,Medium,Medium,Mixed,0.7,Harvesting,26.81,1.12,2.23,2,17.8,4,389,778,1,1,Low
Mustard,Rabi,Haryana,Loamy,Drip,None,Medium,Mostly_Male,3.86,Threshing,24.29,0.94,1.97,8,55.9,14,657,5256,7,1,Low
Sugarcane,Zaid,Karnataka,Red,Drip,None,High,Mixed,3.2,Post_Harvest,32.26,1.15,1.47,5,44.7,11,441,2205,3,2,Very_Low
Pulses,Zaid,Madhya_Pradesh,Alluvial,Canal,Medium,Medium,Mixed,2.89,Land_Preparation,13.2,0.89,0.74,2,15.9,4,511,1022,1,1,Very_Low
Sugarcane,Zaid,Karnataka,Red,Tube_Well,Low,Low,Mostly_Male,1.2,Threshing,38.91,0.96,3.41,4,27.3,5,435,1740,3,1,Medium
Mustard,Rabi,Tamil_Nadu,Alluvial,Tube_Well,Medium,Medium,Mostly_Male,3.81,Post_Harvest,20.52,0.94,0.7,3,22.4,8,578,1734,3,0,Very_Low
Groundnut,Kharif,Bihar,Loamy,Tube_Well,Medium,Medium,Mixed,5.39,Irrigation,25.29,1.11,0.83,4,35.1,5,417,1668,2,2,Very_Low
Rice,Kharif,Madhya_Pradesh,Black,Drip,None,Medium,Mixed,1.93,Harvesting,33.19,1.09,4.53,9,70.5,13,439,3951,5,4,High
Groundnut,Zaid,West_Bengal,Laterite,Sprinkler,None,High,Mostly_Female,2.6,Sowing,24.04,0.98,2.12,6,42.2,12,470,2820,1,5,Low
Sugarcane,Kharif,West_Bengal,Sandy,Rainfed,Medium,Medium,Mixed,2.92,Transplanting,33.16,0.9,5.22,15,100.1,19,442,6630,7,8,High
Rice,Rabi,Maharashtra,Loamy,Sprinkler,Low,Medium,Mostly_Female,1.32,Threshing,26.88,0.88,2.68,4,31.1,5,471,1884,1,3,Medium
Soybean,Rabi,Odisha,Alluvial,Rainfed,None,High,Mostly_Female,1.44,Irrigation,18.83,1.05,0.76,1,7.2,2,409,409,0,1,Very_Low
Maize,Zaid,Uttar_Pradesh,Laterite,Canal,Medium,Medium,Mixed,0.57,Harvesting,15.72,0.87,1.51,1,7.3,4,399,399,1,0,Low
Pulses,Zaid,Bihar,Loamy,Tube_Well,High,Low,Mixed,1.75,Threshing,9.06,1.02,0.91,2,14.8,4,365,730,1,1,Very_Low
Maize,Rabi,Odisha,Laterite,Canal,High,High,Mixed,2.29,Post_Harvest,21.79,1.07,0.35,1,6.5,5,406,406,1,0,Very_Low
Groundnut,Kharif,Haryana,Laterite,Sprinkler,Low,Low,Mostly_Female,1.09,Fertilizer_Application,19.53,0.86,1.0,1,7.8,2,694,694,0,1,Very_Low
Wheat,Kharif,West_Bengal,Black,Tube_Well,Medium,High,Mixed,1.98,Land_Preparation,18.33,0.97,0.98,2,13.2,3,394,788,1,1,Very_Low
Mustard,Rabi,Odisha,Loamy,Sprinkler,None,High,Mixed,3.44,Fertilizer_Application,21.75,1.09,0.89,3,26.5,8,379,1137,2,1,Very_Low
Mustard,Kharif,Punjab,Alluvial,Canal,Medium,High,Mostly_Female,1.27,Harvesting,12.65,0.89,1.88,2,12.8,10,685,1370,0,2,Low
Soybean,Zaid,Uttar_Pradesh,Sandy,Tube_Well,Low,Medium,Mixed,0.61,Post_Harvest,29.95,0.94,0.83,1,7.1,2,480,480,1,0,Very_Low
Wheat,Zaid,Karnataka,Red,Sprinkler,Medium,Medium,Mostly_Female,2.53,Harvesting,29.22,0.9,1.86,5,39.3,18,449,2245,1,4,Low
Wheat,Zaid,Haryana,Black,Rainfed,Low,Medium,Mixed,4.88,Weeding,20.08,0.97,1.12,5,43.8,15,704,3520,2,3,Very_Low
Sugarcane,Zaid,Maharashtra,Sandy,Tube_Well,High,Medium,Mixed,1.28,Fertilizer_Application,34.21,1.14,0.72,1,7.6,2,534,534,1,0,Very_Low
Maize,Zaid,Karnataka,Black,Canal,Low,Medium,Mixed,3.67,Irrigation,17.78,1.06,0.77,3,22.4,3,499,1497,2,1,Very_Low
Maize,Rabi,Haryana,Sandy,Sprinkler,Low,High,Mixed,1.25,Transplanting,11.65,0.94,2.99,4,32.6,7,656,2624,2,2,Medium
Groundnut,Kharif,Maharashtra,Sandy,Tube_Well,High,Medium,Mostly_Male,0.55,Sowing,20.14,1.03,1.12,1,6.7,2,516,516,1,0,Very_Low
Wheat,Kharif,West_Bengal,Red,Drip,None,High,Mostly_Male,0.88,Threshing,28.31,1.14,2.42,2,15.9,4,438,876,2,0,Low
Maize,Rabi,Uttar_Pradesh,Loamy,Rainfed,High,Low,Mostly_Female,0.84,Weeding,21.59,1.01,0.59,1,8.8,2,396,396,0,1,Very_Low
Sugarcane,Kharif,West_Bengal,Laterite,Canal,High,High,Mixed,3.01,Land_Preparation,23.94,0.85,0.79,2,12.6,5,417,834,1,1,Very_Low
Mustard,Zaid,Karnataka,Black,Sprinkler,Low,Low,Mostly_Male,2.66,Fertilizer_Application,20.89,0.9,0.79,2,13.5,4,520,1040,2,0,Very_Low
Soybean,Zaid,Maharashtra,Black,Sprinkler,High,High,Mixed,2.39,Threshing,26.26,0.95,0.71,2,12.6,8,509,1018,1,1,Very_Low
Wheat,Rabi,West_Bengal,Black,Drip,Medium,High,Mixed,1.59,Post_Harvest,16.35,1.07,0.58,1,8.0,4,393,393,0,1,Very_Low
Maize,Kharif,West_Bengal,Loamy,Sprinkler,High,High,Mixed,3.34,Sowing,13.6,1.04,0.89,3,21.3,8,489,1467,2,1,Very_Low
Groundnut,Zaid,Odisha,Red,Drip,Medium,High,Mostly_Female,0.53,Weeding,22.81,1.08,0.98,1,7.8,1,412,412,0,1,Very_Low
Pulses,Kharif,Odisha,Alluvial,Rainfed,Medium,High,Mostly_Male,0.71,Post_Harvest,27.36,1.01,0.56,1,8.6,2,428,428,1,0,Very_Low
Groundnut,Kharif,Tamil_Nadu,Laterite,Rainfed,Low,Medium,Mixed,1.85,Post_Harvest,17.53,0.87,1.01,2,16.8,5,519,1038,1,1,Very_Low
Cotton,Zaid,Haryana,Alluvial,Drip,Low,Low,Mostly_Male,2.71,Sowing,29.47,1.15,3.22,9,61.8,9,607,5463,8,1,Medium
Vegetables,Rabi,West_Bengal,Laterite,Drip,Low,Medium,Mostly_Female,1.52,Threshing,43.72,0.89,3.99,6,38.1,7,429,2574,0,6,Medium
Cotton,Kharif,Punjab,Red,Drip,Medium,Medium,Mostly_Female,1.14,Pest_Control,36.62,1.1,1.12,1,7.0,2,794,794,0,1,Very_Low
Rice,Kharif,West_Bengal,Sandy,Rainfed,Low,Low,Mostly_Female,1.44,Land_Preparation,26.29,0.98,2.28,3,25.8,2,391,1173,0,3,Low
Mustard,Kharif,Punjab,Black,Sprinkler,High,Low,Mostly_Female,6.82,Post_Harvest,30.74,0.95,0.43,3,24.1,13,682,2046,0,3,Very_Low
Mustard,Kharif,West_Bengal,Red,Tube_Well,None,High,Mostly_Female,2.65,Transplanting,17.99,1.04,3.65,10,74.9,22,488,4880,2,8,Medium
Mustard,Rabi,West_Bengal,Laterite,Canal,Low,Low,Mostly_Female,2.26,Harvesting,19.3,0.92,2.38,5,42.9,14,436,2180,0,5,Low
Vegetables,Rabi,Tamil_Nadu,Sandy,Canal,Low,Medium,Mixed,6.13,Sowing,26.51,1.13,4.24,26,163.2,24,492,12792,12,14,High
Soybean,Zaid,Punjab,Alluvial,Canal,Medium,Medium,Mostly_Female,4.09,Threshing,24.4,0.92,1.26,5,43.6,12,789,3945,0,5,Very_Low
Cotton,Zaid,Haryana,Loamy,Drip,High,Medium,Mostly_Female,2.84,Weeding,33.43,0.97,0.61,2,13.9,5,660,1320,0,2,Very_Low
Maize,Rabi,Bihar,Sandy,Drip,Low,High,Mostly_Female,1.48,Harvesting,20.35,1.08,2.61,4,26.4,10,346,1384,1,3,Medium
Sugarcane,Kharif,Uttar_Pradesh,Sandy,Sprinkler,Medium,Medium,Mostly_Male,7.0,Weeding,29.57,0.95,1.36,9,76.5,17,446,4014,8,1,Very_Low
Maize,Rabi,Karnataka,Laterite,Canal,Medium,Medium,Mostly_Male,1.27,Threshing,21.04,1.0,1.97,3,22.9,4,439,1317,2,1,Low
Rice,Zaid,Punjab,Alluvial,Drip,None,Medium,Mostly_Male,6.59,Transplanting,22.89,0.85,4.21,28,199.3,48,746,20888,25,3,High
